"","GEOID"
"1","27053000101"
"2","27053000601"
"3","27053008100"
"4","27053101900"
"5","27053103900"
"6","27053105500"
"7","27053105700"
"8","27053106600"
"9","27053108600"
"10","27053110100"
"11","27053125900"
"12","27053000603"
"13","27053003300"
"14","27053007801"
"15","27053009600"
"16","27053012001"
"17","27053022801"
"18","27053023600"
"19","27053100400"
"20","27053100800"
"21","27053102000"
"22","27053102800"
"23","27053104100"
"24","27053105600"
"25","27003051400"
"26","27053106900"
"27","27053108800"
"28","27053109300"
"29","27053110000"
"30","27053110800"
"31","27053111600"
"32","27053126000"
"33","27053020101"
"34","27053101300"
"35","27053102900"
"36","27053106400"
"37","27053108900"
"38","27123030100"
"39","27053001100"
"40","27053011703"
"41","27053020500"
"42","27053106000"
"43","27053002700"
"44","27053008300"
"45","27053101800"
"46","27053106200"
"47","27053109800"
"48","27053000102"
"49","27053109400"
"50","27053106500"
"51","27053109900"
"52","27053110900"
"53","27053111300"
"54","27053126200"
"55","27053002400"
"56","27053005901"
"57","27053008400"
"58","27053010700"
"59","27053011998"
"60","27053012003"
"61","27053021200"
"62","27053022000"
"63","27053022901"
"64","27123031900"
"65","27053100900"
"66","27053101600"
"67","27053102600"
"68","27053103400"
"69","27053104900"
"70","27053105204"
"71","27053106700"
"72","27053107000"
"73","27053107600"
"74","27123042002"
"75","27123041103"
"76","27123043000"
"77","27123033200"
"78","27123037601"
"79","27053107400"
"80","27053107500"
"81","27053108000"
"82","27053109000"
"83","27053109100"
"84","27053109700"
"85","27053110200"
"86","27053110400"
"87","27053111100"
"88","27053111400"
"89","27053125600"
"90","27053126100"
"91","27053980000"
"92","27003051206"
"93","27003051501"
"94","27053007700"
"95","27053008200"
"96","27053008500"
"97","27053010600"
"98","27053011000"
"99","27053011704"
"100","27053012101"
"101","27053012102"
"102","27053020102"
"103","27053020400"
"104","27053021800"
"105","27053022802"
"106","27053023100"
"107","27053000300"
"108","27053001700"
"109","27053002200"
"110","27053005902"
"111","27053023802"
"112","27053024700"
"113","27053024901"
"114","27053100500"
"115","27053101200"
"116","27053102100"
"117","27053102500"
"118","27053103100"
"119","27053103700"
"120","27053104000"
"121","27053105100"
"122","27053105201"
"123","27053100200"
"124","27053102300"
"125","27053104400"
"126","27053104800"
"127","27053110500"
"128","27053125700"
"129","27053003200"
"130","27053009500"
"131","27053011800"
"132","27053003800"
"133","27053103600"
"134","27053105400"
"135","27053100700"
"136","27053103000"
"137","27053109200"
"138","27053111500"
"139","27053021700"
"140","27003051502"
"141","27053006800"
"142","27053108700"
"143","27053111200"
"144","27053125800"
